hotel_id,hotel_name,SOURCE,price,base_price,checkIn,checkOut,count,rating,Info,latitude,longitude
15215188,Fairmont Riyadh,all.accor.com,1605,,2025-01-02,2025-01-03,220,4.5,,24.808397,46.71805
9702375,Rosh Rayhaan by Rotana,Official Site,813.75,693.75,2025-01-02,2025-01-03,1311,4.5,"['Free breakfast available', 'Free cancellation']",24.700346,46.682137
15756839,Hilton Riyadh Hotel & Residences,Booking.com,1128.75,1128.75,2025-01-02,2025-01-03,1626,4.5,,24.785522,46.72788
24143026,Joudyan Hotel,MakeMyTrip,588.75,472.5,2025-01-02,2025-01-03,317,5,"['Free breakfast available', 'Free cancellation']",24.713552,46.675297
969150,"Holiday Inn Riyadh - al Qasr, an IHG hotel",Booking.com,633.75,633.75,2025-01-02,2025-01-03,1073,4.5,,24.683914,46.68803
7789088,"Crowne Plaza Riyadh Rdc Hotel & Convention, An Ihg Hotel",Booking.com,930,930,2025-01-02,2025-01-03,331,4.5,,24.738811,46.635284
23569851,Fairmont Ramla Serviced Residences,all.accor.com,1518.75,,2025-01-02,2025-01-03,121,4.5,,,
299190,"Holiday Inn Riyadh - Olaya, an IHG hotel",Booking.com,630,630,2025-01-02,2025-01-03,499,4,,24.680237,46.690372
15239002,Shaza Riyadh,Booking.com,652.5,652.5,2025-01-02,2025-01-03,176,4.5,"['Free breakfast available', 'Free cancellation • Reserve now, pay at stay']",24.675924,46.7792
1486058,"Crowne Plaza Riyadh Palace, an IHG hotel",MakeMyTrip,483.75,483.75,2025-01-02,2025-01-03,239,4,,24.664728,46.71136
299191,"InterContinental Riyadh, an IHG hotel",MakeMyTrip,915,915,2025-01-02,2025-01-03,957,4.5,,24.666677,46.692158
17154823,"Crowne Plaza Riyadh al Waha, an IHG hotel",Booking.com,633.75,633.75,2025-01-02,2025-01-03,214,4.5,,24.742296,46.725163
15215188,Fairmont Riyadh,all.accor.com,1605,,2025-01-02,2025-01-03,220,4.5,,24.808397,46.71805
3514706,ibis Riyadh Olaya Street,MakeMyTrip,476.25,476.25,2025-01-02,2025-01-03,430,3.5,,24.712132,46.67674
15215188,Fairmont Riyadh,Fairmont,1605,1605,2025-01-02,2025-01-03,220,4.5,,24.808397,46.71805
3349253,Carawan Al Fahad Hotel,Booking.com,532.5,495,2025-01-02,2025-01-03,54,4,"['Free breakfast available', 'Free cancellation']",24.711273,46.671043
5994700,Narcissus Hotel & Spa Riyadh,Booking.com,2580,1035,2025-01-02,2025-01-03,338,4.5,,24.695637,46.683575
810042,Continent Al Waha Hotel,MakeMyTrip,795,701.25,2025-01-02,2025-01-03,407,4.5,"['Free breakfast available', 'Free cancellation']",24.680944,46.689484
26451032,The St. Regis Riyadh,StRegis.com,2220,,2025-01-02,2025-01-03,54,5,,,
3250538,Al Mashreq Boutique Hotel,Booking.com,750,750,2025-01-02,2025-01-03,170,4.5,"['Free breakfast available', 'Free cancellation']",24.70452,46.655216
10131963,Spectrums Hotel Riyadh,Booking.com,562.5,562.5,2025-01-02,2025-01-03,189,4.5,"['Free breakfast available', 'Free cancellation']",24.700665,46.678635
2366709,The Ritz-Carlton Riyadh,Marriott,1507.5,1507.5,2025-01-02,2025-01-03,1045,4.5,,,
1748545,Executives Hotel - Olaya,Booking.com,615,540,2025-01-02,2025-01-03,165,4,"['Free breakfast available', 'Free cancellation']",24.70869,46.678
16865982,Le Méridien Riyadh,Marriott,873.75,873.75,2025-01-02,2025-01-03,78,4.5,,,
301864,Sheraton Riyadh Hotel & Towers,Marriott,573.75,573.75,2025-01-02,2025-01-03,407,4,,,
28054092,Nova M Hotel Edge By Rotana,Booking.com,592.5,566.25,2025-01-02,2025-01-03,2,4.5,,24.779217,46.642143
15368089,IntercityHotel Riyadh Malaz,MakeMyTrip,442.5,442.5,2025-01-02,2025-01-03,14,4,,,
25280776,Ramada By wyndham,Agoda.com,671.25,,2025-01-02,2025-01-03,7,4,,,
